sheet,cell,column_role,old_value,new_value,reason
Table 1,I69,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=0)
Table 1,F69,Cohort 1 count (After PSM),20.7% (0),20.7% (≤10),count 0 ≤10
Table 1,G69,Cohort 2 count (After PSM),20.7% (0),20.7% (≤10),count 0 ≤10
Table 1,D70,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=0)
Table 1,E70,ASD (Before PSM),0.301,-,either cohort count ≤10 (min=0)
Table 1,B70,Cohort 1 count (Before PSM),26.8% (0),26.8% (≤10),count 0 ≤10
Table 1,C70,Cohort 2 count (Before PSM),14.7% (0),14.7% (≤10),count 0 ≤10
Table 1,H70,P-value (After PSM),0.785,-,either cohort count ≤10 (min=0)
Table 1,I70,ASD (After PSM),0.021,-,either cohort count ≤10 (min=0)
Table 1,F70,Cohort 1 count (After PSM),24.7% (0),24.7% (≤10),count 0 ≤10
Table 1,G70,Cohort 2 count (After PSM),23.8% (0),23.8% (≤10),count 0 ≤10
Table 1,D71,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=0)
Table 1,E71,ASD (Before PSM),0.327,-,either cohort count ≤10 (min=0)
Table 1,B71,Cohort 1 count (Before PSM),34.2% (0),34.2% (≤10),count 0 ≤10
Table 1,C71,Cohort 2 count (Before PSM),19.9% (0),19.9% (≤10),count 0 ≤10
Table 1,H71,P-value (After PSM),0.867,-,either cohort count ≤10 (min=0)
Table 1,I71,ASD (After PSM),0.013,-,either cohort count ≤10 (min=0)
Table 1,F71,Cohort 1 count (After PSM),31.4% (0),31.4% (≤10),count 0 ≤10
Table 1,G71,Cohort 2 count (After PSM),32.0% (0),32.0% (≤10),count 0 ≤10
Table 1,D72,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=0)
Table 1,E72,ASD (Before PSM),0.223,-,either cohort count ≤10 (min=0)
Table 1,B72,Cohort 1 count (Before PSM),37.9% (0),37.9% (≤10),count 0 ≤10
Table 1,C72,Cohort 2 count (Before PSM),27.5% (0),27.5% (≤10),count 0 ≤10
Table 1,H72,P-value (After PSM),0.935,-,either cohort count ≤10 (min=0)
Table 1,I72,ASD (After PSM),0.006,-,either cohort count ≤10 (min=0)
Table 1,F72,Cohort 1 count (After PSM),34.5% (0),34.5% (≤10),count 0 ≤10
Table 1,G72,Cohort 2 count (After PSM),34.8% (0),34.8% (≤10),count 0 ≤10
Table 1,D73,P-value (Before PSM),0.982,-,either cohort count ≤10 (min=0)
Table 1,E73,ASD (Before PSM),0.001,-,either cohort count ≤10 (min=0)
Table 1,B73,Cohort 1 count (Before PSM),37.4% (0),37.4% (≤10),count 0 ≤10
Table 1,C73,Cohort 2 count (Before PSM),37.3% (0),37.3% (≤10),count 0 ≤10
Table 1,H73,P-value (After PSM),0.684,-,either cohort count ≤10 (min=0)
Table 1,I73,ASD (After PSM),0.032,-,either cohort count ≤10 (min=0)
Table 1,F73,Cohort 1 count (After PSM),36.9% (0),36.9% (≤10),count 0 ≤10
Table 1,G73,Cohort 2 count (After PSM),35.4% (0),35.4% (≤10),count 0 ≤10
Table 1,D74,P-value (Before PSM),0.453,-,either cohort count ≤10 (min=0)
Table 1,E74,ASD (Before PSM),0.042,-,either cohort count ≤10 (min=0)
Table 1,B74,Cohort 1 count (Before PSM),49.6% (0),49.6% (≤10),count 0 ≤10
Table 1,C74,Cohort 2 count (Before PSM),51.7% (0),51.7% (≤10),count 0 ≤10
Table 1,H74,P-value (After PSM),0.585,-,either cohort count ≤10 (min=0)
Table 1,I74,ASD (After PSM),0.043,-,either cohort count ≤10 (min=0)
Table 1,F74,Cohort 1 count (After PSM),52.1% (0),52.1% (≤10),count 0 ≤10
Table 1,G74,Cohort 2 count (After PSM),50% (0),50% (≤10),count 0 ≤10
