sheet,cell,column_role,old_value,new_value,reason
Table 1,E65,ASD (Before PSM),0.089,-,either cohort count ≤10 (min=0)
Table 1,B65,Cohort 1 count (Before PSM),7.7% (0),7.7% (≤10),count 0 ≤10
Table 1,C65,Cohort 2 count (Before PSM),10.2% (0),10.2% (≤10),count 0 ≤10
Table 1,H65,P-value (After PSM),0.890,-,either cohort count ≤10 (min=0)
Table 1,I65,ASD (After PSM),0.010,-,either cohort count ≤10 (min=0)
Table 1,F65,Cohort 1 count (After PSM),7.8% (0),7.8% (≤10),count 0 ≤10
Table 1,G65,Cohort 2 count (After PSM),7.5% (0),7.5% (≤10),count 0 ≤10
Table 1,D66,P-value (Before PSM),0.269,-,either cohort count ≤10 (min=0)
Table 1,E66,ASD (Before PSM),0.059,-,either cohort count ≤10 (min=0)
Table 1,B66,Cohort 1 count (Before PSM),11.1% (0),11.1% (≤10),count 0 ≤10
Table 1,C66,Cohort 2 count (Before PSM),13.1% (0),13.1% (≤10),count 0 ≤10
Table 1,H66,P-value (After PSM),0.732,-,either cohort count ≤10 (min=0)
Table 1,I66,ASD (After PSM),0.025,-,either cohort count ≤10 (min=0)
Table 1,F66,Cohort 1 count (After PSM),11.3% (0),11.3% (≤10),count 0 ≤10
Table 1,G66,Cohort 2 count (After PSM),12.1% (0),12.1% (≤10),count 0 ≤10
Table 1,D67,P-value (Before PSM),0.138,-,either cohort count ≤10 (min=0)
Table 1,E67,ASD (Before PSM),0.075,-,either cohort count ≤10 (min=0)
Table 1,B67,Cohort 1 count (Before PSM),17.5% (0),17.5% (≤10),count 0 ≤10
Table 1,C67,Cohort 2 count (Before PSM),14.8% (0),14.8% (≤10),count 0 ≤10
Table 1,H67,P-value (After PSM),0.923,-,either cohort count ≤10 (min=0)
Table 1,I67,ASD (After PSM),0.007,-,either cohort count ≤10 (min=0)
Table 1,F67,Cohort 1 count (After PSM),17.4% (0),17.4% (≤10),count 0 ≤10
Table 1,G67,Cohort 2 count (After PSM),17.7% (0),17.7% (≤10),count 0 ≤10
Table 1,D68,P-value (Before PSM),0.067,-,either cohort count ≤10 (min=0)
Table 1,E68,ASD (Before PSM),0.092,-,either cohort count ≤10 (min=0)
Table 1,B68,Cohort 1 count (Before PSM),21.0% (0),21.0% (≤10),count 0 ≤10
Table 1,C68,Cohort 2 count (Before PSM),17.3% (0),17.3% (≤10),count 0 ≤10
Table 1,H68,P-value (After PSM),0.716,-,either cohort count ≤10 (min=0)
Table 1,I68,ASD (After PSM),0.027,-,either cohort count ≤10 (min=0)
Table 1,F68,Cohort 1 count (After PSM),20.9% (0),20.9% (≤10),count 0 ≤10
Table 1,G68,Cohort 2 count (After PSM),19.8% (0),19.8% (≤10),count 0 ≤10
Table 1,D69,P-value (Before PSM),0.003,-,either cohort count ≤10 (min=0)
Table 1,E69,ASD (Before PSM),0.147,-,either cohort count ≤10 (min=0)
Table 1,B69,Cohort 1 count (Before PSM),25.5% (0),25.5% (≤10),count 0 ≤10
Table 1,C69,Cohort 2 count (Before PSM),19.4% (0),19.4% (≤10),count 0 ≤10
Table 1,H69,P-value (After PSM),0.933,-,either cohort count ≤10 (min=0)
Table 1,I69,ASD (After PSM),0.006,-,either cohort count ≤10 (min=0)
Table 1,F69,Cohort 1 count (After PSM),25.5% (0),25.5% (≤10),count 0 ≤10
Table 1,G69,Cohort 2 count (After PSM),25.2% (0),25.2% (≤10),count 0 ≤10
Table 1,D70,P-value (Before PSM),0.036,-,either cohort count ≤10 (min=0)
Table 1,E70,ASD (Before PSM),0.106,-,either cohort count ≤10 (min=0)
Table 1,B70,Cohort 1 count (Before PSM),26.8% (0),26.8% (≤10),count 0 ≤10
Table 1,C70,Cohort 2 count (Before PSM),22.2% (0),22.2% (≤10),count 0 ≤10
Table 1,H70,P-value (After PSM),0.401,-,either cohort count ≤10 (min=0)
Table 1,I70,ASD (After PSM),0.062,-,either cohort count ≤10 (min=0)
Table 1,F70,Cohort 1 count (After PSM),26.8% (0),26.8% (≤10),count 0 ≤10
Table 1,G70,Cohort 2 count (After PSM),24.1% (0),24.1% (≤10),count 0 ≤10
Table 1,D71,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=0)
Table 1,E71,ASD (Before PSM),0.214,-,either cohort count ≤10 (min=0)
Table 1,B71,Cohort 1 count (Before PSM),34.2% (0),34.2% (≤10),count 0 ≤10
Table 1,C71,Cohort 2 count (Before PSM),24.5% (0),24.5% (≤10),count 0 ≤10
Table 1,H71,P-value (After PSM),0.758,-,either cohort count ≤10 (min=0)
Table 1,I71,ASD (After PSM),0.023,-,either cohort count ≤10 (min=0)
Table 1,F71,Cohort 1 count (After PSM),33.8% (0),33.8% (≤10),count 0 ≤10
Table 1,G71,Cohort 2 count (After PSM),34.9% (0),34.9% (≤10),count 0 ≤10
Table 1,D72,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=0)
Table 1,E72,ASD (Before PSM),0.224,-,either cohort count ≤10 (min=0)
Table 1,B72,Cohort 1 count (Before PSM),37.9% (0),37.9% (≤10),count 0 ≤10
Table 1,C72,Cohort 2 count (Before PSM),27.5% (0),27.5% (≤10),count 0 ≤10
Table 1,H72,P-value (After PSM),0.599,-,either cohort count ≤10 (min=0)
Table 1,I72,ASD (After PSM),0.039,-,either cohort count ≤10 (min=0)
Table 1,F72,Cohort 1 count (After PSM),37.8% (0),37.8% (≤10),count 0 ≤10
Table 1,G72,Cohort 2 count (After PSM),39.7% (0),39.7% (≤10),count 0 ≤10
Table 1,D73,P-value (Before PSM),0.172,-,either cohort count ≤10 (min=0)
Table 1,E73,ASD (Before PSM),0.070,-,either cohort count ≤10 (min=0)
Table 1,B73,Cohort 1 count (Before PSM),37.4% (0),37.4% (≤10),count 0 ≤10
Table 1,C73,Cohort 2 count (Before PSM),34.0% (0),34.0% (≤10),count 0 ≤10
Table 1,H73,P-value (After PSM),0.704,-,either cohort count ≤10 (min=0)
Table 1,I73,ASD (After PSM),0.028,-,either cohort count ≤10 (min=0)
Table 1,F73,Cohort 1 count (After PSM),37.3% (0),37.3% (≤10),count 0 ≤10
Table 1,G73,Cohort 2 count (After PSM),35.9% (0),35.9% (≤10),count 0 ≤10
Table 1,D74,P-value (Before PSM),0.012,-,either cohort count ≤10 (min=0)
Table 1,E74,ASD (Before PSM),0.130,-,either cohort count ≤10 (min=0)
Table 1,B74,Cohort 1 count (Before PSM),49.6% (0),49.6% (≤10),count 0 ≤10
Table 1,C74,Cohort 2 count (Before PSM),43.1% (0),43.1% (≤10),count 0 ≤10
Table 1,H74,P-value (After PSM),1,-,either cohort count ≤10 (min=0)
Table 1,I74,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=0)
Table 1,F74,Cohort 1 count (After PSM),50.1% (0),50.1% (≤10),count 0 ≤10
Table 1,G74,Cohort 2 count (After PSM),50.1% (0),50.1% (≤10),count 0 ≤10
